Date,Open,High,Low,Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
2010-05-05,5148.35,5148.35,5056.5,5124.9,5109.916666666667,5163.333333333334,5071.483333333334,5201.766666666667,5018.066666666667,5255.183333333334,4979.633333333333,5308.6,4941.199999999999,5362.016666666668,4902.766666666666
2010-05-06,5124.4,5124.9,5037.75,5090.85,5084.5,5131.25,5044.1,5171.65,4997.35,5218.4,4956.950000000001,5265.15,4916.550000000001,5311.9,4876.1500000000015
2010-05-07,5072.3,5085.65,4984.6,5018.05,5029.433333333333,5074.266666666666,4973.216666666667,5130.483333333333,4928.383333333334,5175.316666666666,4872.166666666668,5220.149999999998,4815.950000000001,5264.983333333332,4759.733333333335
2010-05-10,5026.6,5203.3,5026.6,5193.6,5141.166666666667,5255.733333333334,5079.033333333334,5317.866666666667,4964.466666666667,5432.433333333333,4902.333333333334,5547.0,4840.199999999999,5661.566666666666,4778.0666666666675
2010-05-11,5189.75,5206.7,5126.5,5136.15,5156.45,5186.4,5106.2,5236.65,5076.25,5266.599999999999,5026.0,5296.549999999999,4975.75,5326.5,4925.5
2010-05-12,5133.75,5172.85,5098.8,5156.65,5142.766666666667,5186.7333333333345,5112.683333333334,5216.8166666666675,5068.716666666667,5260.783333333335,5038.633333333334,5304.750000000002,5008.550000000003,5348.716666666669,4978.466666666667
2010-05-13,5157.55,5212.7,5147.95,5178.9,5179.849999999999,5211.749999999999,5146.999999999999,5244.599999999999,5115.099999999999,5276.499999999999,5082.249999999999,5308.4000000000015,5049.4000000000015,5340.299999999999,5016.549999999999
2010-05-14,5180.55,5192.75,5070.95,5093.5,5119.066666666667,5167.183333333333,5045.383333333333,5240.866666666667,4997.266666666666,5288.983333333334,4923.583333333333,5337.100000000002,4849.9000000000015,5385.216666666667,4776.216666666667
2010-05-17,5093.9,5094.55,4966.25,5059.9,5040.233333333333,5114.216666666665,4985.916666666665,5168.533333333333,4911.9333333333325,5242.5166666666655,4857.616666666665,5316.499999999996,4803.299999999996,5390.48333333333,4748.98333333333
2010-05-18,5059.55,5105.2,5024.25,5066.2,5065.216666666667,5106.183333333334,5025.2333333333345,5146.166666666667,4984.266666666667,5187.133333333334,4944.283333333335,5228.100000000002,4904.300000000003,5269.066666666669,4864.316666666669
2010-05-19,5065.1,5065.1,4908.15,4919.65,4964.3,5020.450000000001,4863.5,5121.250000000001,4807.349999999999,5177.4000000000015,4706.549999999999,5233.550000000003,4605.75,5289.700000000003,4504.949999999999
2010-05-20,4924.3,4980.25,4924.3,4947.6,4950.716666666666,4977.133333333332,4921.1833333333325,5006.666666666666,4894.766666666666,5033.083333333332,4865.233333333333,5059.499999999996,4835.699999999997,5085.916666666664,4806.166666666664
2010-05-21,4946.7,4946.7,4842.3,4931.15,4906.716666666666,4971.133333333332,4866.733333333333,5011.116666666666,4802.316666666667,5075.533333333332,4762.333333333333,5139.949999999997,4722.3499999999985,5204.366666666665,4682.366666666665
2010-05-24,4944.3,5029.55,4923.45,4943.95,4965.650000000001,5007.850000000001,4901.750000000001,5071.750000000001,4859.55,5113.950000000002,4795.650000000001,5156.1500000000015,4731.75,5198.350000000002,4667.850000000002
2010-05-25,4945.3,4946.6,4786.45,4806.75,4846.599999999999,4906.749999999999,4746.5999999999985,5006.75,4686.449999999999,5066.9,4586.449999999998,5127.050000000001,4486.449999999997,5187.199999999999,4386.449999999997
2010-05-26,4807.3,4925.45,4807.3,4917.4,4883.383333333333,4959.466666666666,4841.316666666667,5001.533333333333,4765.233333333334,5077.616666666666,4723.166666666667,5153.699999999999,4681.1,5229.783333333333,4639.033333333333
2010-05-27,4915.15,5016.6,4897.6,5003.1,4972.433333333333,5047.266666666666,4928.266666666666,5091.433333333333,4853.433333333333,5166.266666666666,4809.266666666666,5241.0999999999985,4765.0999999999985,5315.9333333333325,4720.9333333333325
2010-05-28,5005.6,5077.25,5005.6,5066.55,5049.8,5094.0,5022.35,5121.45,4978.150000000001,5165.65,4950.700000000001,5209.85,4923.250000000002,5254.049999999999,4895.800000000001
2010-05-31,5076.1,5097.6,5038.55,5086.3,5074.150000000001,5109.750000000001,5050.700000000001,5133.200000000001,5015.1,5168.800000000001,4991.650000000001,5204.4,4968.200000000001,5240.000000000002,4944.75
2010-06-01,5086.25,5086.95,4961.05,4970.2,5006.066666666667,5051.083333333333,4925.183333333333,5131.966666666666,4880.166666666667,5176.983333333333,4799.283333333334,5222.0,4718.4000000000015,5267.016666666666,4637.516666666666
2010-06-02,4970.75,5031.2,4967.05,5019.85,5006.033333333334,5045.016666666667,4980.866666666668,5070.183333333333,4941.883333333334,5109.166666666667,4916.716666666668,5148.1500000000015,4891.550000000003,5187.133333333335,4866.383333333335
2010-06-03,5020.15,5125.7,5020.15,5110.5,5085.45,5150.75,5045.2,5191.0,4979.9,5256.3,4939.65,5321.5999999999985,4899.4,5386.9000000000015,4859.15
2010-06-04,5112.6,5147.9,5091.6,5135.5,5125.0,5158.4,5102.1,5181.299999999999,5068.700000000001,5214.699999999999,5045.800000000001,5248.0999999999985,5022.9000000000015,5281.499999999998,5000.000000000002
2010-06-07,5132.95,5132.95,5004.25,5034.0,5057.066666666667,5109.883333333333,4981.183333333333,5185.766666666666,4928.366666666667,5238.583333333333,4852.483333333334,5291.4000000000015,4776.600000000002,5344.216666666667,4700.716666666667
2010-06-08,5036.7,5071.35,4967.3,4987.1,5008.583333333334,5049.866666666668,4945.8166666666675,5112.633333333334,4904.533333333334,5153.916666666668,4841.766666666667,5195.200000000001,4779.000000000002,5236.483333333335,4716.233333333334
2010-06-09,4985.05,5050.6,4980.1,5000.3,5010.333333333333,5040.566666666666,4970.066666666666,5080.833333333333,4939.833333333333,5111.066666666666,4899.566666666666,5141.299999999999,4859.299999999999,5171.533333333331,4819.033333333331
